index,smiles,half-life
511,CCc1ccc(NC(=O)c2[nH]c(C)c(C(C)=O)c2C)cc1[S+](=O)([O-])Nc1ccccc1C#N,30.0
540,COc1ccc(NC(=O)c2[nH]c(C)c(C(C)=O)c2C)cc1[S+](=O)([O-])Nc1ccccc1C#N,30.0
541,COc1ccc(NC(=O)c2[nH]c(C)c(C(C)=O)c2C)cc1[S+](=O)([O-])Nc1ccc(C#N)cc1,30.0
544,CC(=O)c1c(C)[nH]c(C(=O)Nc2ccc(OCCCN(C)C)c([S+](=O)([O-])Nc3ccc(Br)cc3)c2)c1C,30.0
820,CC(=O)c1c(C)[nH]c(C(=O)Nc2cccc([S+](=O)([O-])Nc3cccc(C#N)c3)c2)c1C,25.0
878,CCc1ccc(NC(=O)c2[nH]c(C)c(C(C)=O)c2C)cc1[S+](=O)([O-])Nc1ccc(Br)cc1,23.0
936,CC(=O)c1ccc(N[S+](=O)([O-])c2cccc(NC(=O)c3[nH]c(C)c(C(C)=O)c3C)c2)cc1,21.0
1001,CC(=O)c1c(C)[nH]c(C(=O)Nc2ccc(C)c([S+](=O)([O-])Nc3ccc(Br)cc3)c2)c1C,19.0
1030,CC(=O)c1c(C)[nH]c(C(=O)Nc2cccc([S+](=O)([O-])Nc3ccc(Br)cc3)c2)c1C,18.0
1064,CC(=O)c1c(C)[nH]c(C(=O)Nc2cccc([S+](=O)([O-])Nc3ccc(Br)c(F)c3)c2)c1C,17.0
1133,COc1ccc(NC(=O)c2[nH]c(C)c(C(C)=O)c2C)cc1[S+](=O)([O-])Nc1cccc(C#N)c1,15.0
1143,CCc1ccc(NC(=O)c2[nH]c(C)c(C(C)=O)c2C)cc1[S+](=O)([O-])Nc1ccc(C#N)cc1,14.65
1496,Cc1cc(C)c(C(=O)Nc2cccc([S+](=O)([O-])Nc3ccc(Br)cc3)c2)[nH]1,7.7
1519,COc1ccc(NC(=O)c2ccc[nH]2)cc1[S+](=O)([O-])Nc1ccc(Br)cc1,7.44
1623,CCc1ccc(NC(=O)c2[nH]c(C)c(C(C)=O)c2C)cc1[S+](=O)([O-])Nc1cccc(C#N)c1,6.1
1642,COc1ccc(NC(=O)c2c(C)c(C(C)=O)c(C)n2C)cc1[S+](=O)([O-])Nc1ccc(Br)cc1,5.9
1737,CC(=O)c1c(C)[nH]c(C(=O)Nc2cccc([S+](=O)([O-])Nc3c(C)cccc3C)c2)c1C,5.0
1789,CC(=O)c1c(C)[nH]c(C(=O)Nc2cccc([S+](=O)([O-])Nc3ccccc3C)c2)c1C,4.4
1815,CC(=O)c1c(C)[nH]c(C(=O)Nc2cccc([S+](=O)([O-])Nc3ccccc3)c2)c1C,4.2
50,O=C1Nc2ccc(I)cc2C1=Cc1cc(Br)c(O)c(Br)c1,30.0
418,COc1ccc(/C=C2/C(=O)Nc3ccccc32)cc1O,30.0
419,O=C1Nc2ccccc2/C1=C/c1cccc(C(=O)O)c1,30.0
422,O=C1Nc2c(Cl)cccc2/C1=C\c1cc(Cl)c(O)c(Cl)c1,30.0
423,O=C1Nc2cc(Cl)ccc2/C1=C\c1cc(Cl)c(O)c(Cl)c1,30.0
424,O=C1Nc2ccc(Cl)cc2/C1=C\c1cc(Cl)c(O)c(Cl)c1,30.0
425,O=C1Nc2cccc(Cl)c2/C1=C\c1cc(Cl)c(O)c(Cl)c1,30.0
733,O=C1Nc2ccccc2/C1=C/c1cc(Cl)c(O)c(Cl)c1,30.0
748,O=C1Nc2ccccc2/C1=C\c1ccc(C(=O)O)cc1,30.0
799,O=C1Nc2ccccc2/C1=C\c1cc(Br)c(O)c(Br)c1,26.0
800,Cc1cccc2c1NC(=O)/C2=C/c1cc(Cl)c(O)c(Cl)c1,26.0
873,O=C1Nc2ccccc2/C1=C\c1cc(F)c(O)c(F)c1,23.0
900,Cc1ccc2c(c1)/C(=C\c1cc(Cl)c(O)c(Cl)c1)C(=O)N2,22.0
966,O=C1Nc2ccccc2/C1=C\c1ccc(O)c(F)c1,20.0
1088,O=C1Nc2ccccc2/C1=C\c1ccc(O)c(Cl)c1,16.0
1164,O=C1Nc2ccccc2/C1=C\c1ccc(O)cc1,14.0
1243,COc1cc(/C=C2\C(=O)Nc3ccccc32)ccc1O,12.0
1281,Cc1cc(/C=C2/C(=O)Nc3ccccc32)cc(C)c1O,11.0
1747,O=C1Nc2ccccc2/C1=C\c1ccc([N+](=O)[O-])cc1,4.92
1466,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1cccc(C#N)c1,8.1
1881,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1ccc(C#N)cc1,3.6
1926,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1ccccc1,3.27
1930,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1ccc(F)cc1,3.2
2023,CCOC(=O)c1ccc(-n2c(C)cc(-c3nnc4n3CCCCC4)c2C)cc1,2.7
2056,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1ccc([N+](=O)[O-])cc1,2.5
2077,COc1ccc(-n2c(C)cc(-c3nnc4n3CCCCC4)c2C)cc1,2.4
